"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59","PC60","PC61","PC62","PC63","PC64","PC65","PC66","PC67","PC68","PC69","PC70","PC71","PC72","PC73","PC74","PC75","PC76","PC77","PC78","PC79","PC80","PC81","PC82","PC83"
"22RV1",0.1088133279952,0.0940119145866423,0.140886040182258,-0.0916488467755423,0.129926347969209,-0.0235016594242332,0.0275206935709109,0.0235770899840087,-0.134252779410607,0.018101851262046,-0.238558351992904,0.192183906758809,-0.0395062765984859,0.116326128521037,-0.107710123657002,0.0582867204280065,-0.0698478365946385,0.155458224810157,-0.279863959515874,0.106818000132566,-0.0653323319407403,-0.134303700997565,0.0952612635176305,0.00755519672688336,-0.130583989366039,-0.203581278727683,0.0370981328453358,0.0342503229863173,0.0757442805230311,-0.0229837576659224,-0.14289265438628,0.240490285154574,0.0582852764760908,-0.00610335591889956,-0.151960343280828,-0.10780409768003,-0.25719195444948,0.212171267924749,0.111963358594809,0.0351193229809528,0.068757166322615,0.0392265773498285,-0.220704444381752,-0.123793154995642,-0.169005504015142,0.265261363580228,0.137148625310594,0.14224495597159,-0.174094281506213,-0.0160598615877282,-0.0229639210274426,-0.0726575287815694,0.00148253847779973,0.0310704328643758,0.0863061573737354,0.00517888803193321,0.0415935873869208,0.0780234151961493,-0.0408924583499589,-0.157749171274105,-0.0833376415972838,0.0161010366834192,0.0492554762383179,0.114263496663745,-0.0247643082074825,-0.0223956304342132,-0.00926308966897419,-0.0285360507391692,-0.0148490359269946,-0.0113199131945221,0.034046105306472,0.0215843856000052,0.038075854068268,-0.0654844798924206,-0.00308930184258273,-0.0242768085089579,-0.0589808096851177,0.0412170117191277,0.0368308467738799,-0.0259745268219469,0.0404940957584836,-0.0397975397358918,0.0163366519736896
"647-V",0.112120910314983,-0.0583134126452474,-0.0957377472070184,0.077293526794636,-0.0225705932392231,-0.128367745802589,0.165639028156696,-0.0115928212536048,-0.00989277287295551,-0.0808775356928571,-0.084133316199866,0.0156864193723452,-0.0110635913070397,-0.0573432993200823,-0.0795300378940627,-0.0367394014221646,-0.0313443163943502,-0.00572087563921722,0.0953735615254952,0.0225130631669243,0.0921182265050614,-0.0506603322598747,0.0958636718736104,-0.0778774706183559,-0.0128591236221196,-0.0348052911185562,0.0131595062120946,-0.00263231549528977,0.203290593434771,-0.048025393908216,-0.0795795322708021,-0.0182713994658509,0.0440747319555999,0.0917703092620311,0.0554000235117419,0.0645962007837847,-0.0209431934565615,0.00523169792245657,0.0525530846245334,0.126786439779236,-0.12443912535624,0.107127065798207,0.0520163068721417,0.00246021932974319,0.0194551381751868,-0.0133658889473708,0.0668627241858034,0.0586320208852872,-0.0998654408427283,-0.140114033614949,0.00168289118036476,-0.197629643456012,0.0327036147793705,-0.0366932751034586,-0.0710562493526324,-0.0850850481145496,0.0909226175429633,-0.0597399645036959,-0.0467886048769207,-0.00255166320354812,0.35425416976906,-0.111085056142364,-0.0423545058829401,-0.0833545439904918,0.10510436787753,0.210617075489721,0.00479851190638689,0.00972486579157576,0.0796071603914962,0.264093293704119,0.0470598497489243,-0.176228837037763,-0.231921032998626,-0.299235434025847,-0.142988907842877,-0.193372683929662,0.289474901315929,0.00316590646556227,0.0202282457017571,-0.0770474280981569,-0.167452662703547,-0.0811285967464562,0.0255552987718072
"A549",0.109099188890556,-0.0608996865211088,-0.0343187321892267,-0.0626284578489455,0.210639287415576,0.127556342995393,-0.123254564878802,-0.0674812349739973,-0.315944826279458,0.0844833546494385,0.191585489592124,-0.165267078726351,-0.166113743886853,-0.0331284442902388,0.0099651839719752,-0.0562340518029107,-0.00331810825203007,0.169909217774065,0.0583378167437443,-0.130391478358174,0.0608932228345248,-0.0251521723692695,-0.158016276234161,0.124688552080847,-0.0443893905914687,-0.198449373565465,0.0885138520588634,0.107314469132337,0.129961240075168,0.000631776481422952,0.0749655776734497,3.16382175111346e-05,0.127269645672023,0.107652482159847,0.072635232827349,-0.0695243509183918,0.225013343195709,0.170411060701668,0.0184210955575874,-0.0758113950496279,-0.0726517356339423,0.304712389480559,-0.0734258363998224,-0.12607424827393,0.0411615512003439,0.0200926870625124,0.0452788860793906,-0.0929667646001365,0.0101249353394983,0.101383203900425,0.109250878886714,0.126283426046094,0.16811169927807,-0.122670964814255,-0.116271973849253,-0.0125054034258432,-0.123241793739903,-0.0340323927366786,-0.0148415168080109,-0.0321716541742499,0.0827040012906906,-0.0137491501001782,0.210897409245366,0.0461258758727294,0.0228329352267821,-0.0103737842558075,0.128365328434331,0.188427273675783,-0.0872299489239433,-0.0124417181668559,-0.0407482172304721,-0.124094130725517,0.0573199402087183,0.0495121261492491,0.0313931383635101,-0.0839555102740672,0.0264837942853971,-0.0523687351960841,0.00700769238482884,0.0337876168364473,-0.0203968663425984,0.00298218720779661,-0.00271593683339127
"BFTC-905",0.111812443789813,-0.0366994247306782,-0.111830665717648,-0.0268905806044078,-0.0177597936559036,-0.196737240436784,-0.029185685967568,0.0689763326150093,0.0851662049047341,0.212473006978664,-0.0210965301212474,-0.0414729981127391,0.0303899246915555,0.0497286530778464,0.0436419929924691,-0.0108137864600325,-0.0518463322282472,-0.0403617772602517,0.0168977669227537,-0.0699945851291764,-0.0284647344508396,0.0556873071380172,-0.00917140931090029,0.0576697761272807,-0.0371093559583458,0.0189456008374099,0.00792989361102286,0.0782044291874903,0.0463886253272294,-0.0477685441487558,0.0350329122207116,-0.00970713495153606,0.0126250386246577,-0.121603130113928,-0.146005504468634,0.0654424599916902,0.179886159697146,-0.252159866342196,0.0615605659693391,0.0706801368172549,0.0677110189272689,0.0669624004828879,-0.00342811171368938,-0.0970735977152746,-0.0238952501081545,0.0571391755601219,-0.146823528853931,0.12092101444241,-0.139710897800245,0.0316244775287925,0.0548819246202572,-0.115082925349406,0.0384653226345037,0.0945924786035172,0.0741298672104905,0.0276951605440546,-0.109016100399461,0.0382503459223589,0.178811547793416,-0.129077448221343,0.135360077958724,-0.0700033044028143,0.104645168257055,-0.0158266221941875,-0.294914304338937,0.219754062005764,0.0217497878733554,-0.0176641912143422,-0.0419262959016387,-0.109334322958711,0.0954252808344707,0.247602524555607,-0.000886589244952385,0.244763326634573,-0.0442427295955543,-0.331013121227395,0.00741332171908041,0.0297075042157312,0.115729143931699,-0.016723459947649,0.167011836318152,-0.2187222429779,0.0468545303979929
"BT-20",0.109733270251257,0.0730016164211324,-0.0718345780550101,0.191171524224906,-0.115987493453239,0.0287316331581004,-0.0479244050168201,-0.0602548309938353,-0.0215049491125539,0.0133501397433812,0.0678100526398812,0.104531593620907,-0.18560120307065,-0.182836679706465,0.0829392699163881,-0.201532939224607,-0.127939876711984,0.0206654929205081,0.0202990831630056,0.203160284079957,-0.0310875945557172,-0.108138149388147,0.0349792867362997,-0.158339933650578,0.138079859298659,-0.033412130971496,-0.233329520255304,0.0280771165324849,-0.0394243330374322,-0.130866953497612,-0.150485250125195,0.0254640809754366,0.127887344054587,0.0105617792601101,0.0108424976018057,0.0420582671297264,-0.137051751180349,0.12130553971434,0.0359623647894218,-0.232477331771278,0.101577323214903,0.0493936805815868,0.00458568556039179,0.297583225002161,-0.117300905162109,-0.117255816395407,0.0164603183193615,0.0991128797958946,0.192508739945159,-0.141647574999849,0.104250891663162,0.0384525834714866,0.117237412275481,0.0372827228033296,-0.113303539929983,0.126284861876973,0.0932363514791512,0.0659927281632591,-0.111824863422078,-0.0868181879233371,0.00553716835365023,0.0297814645183421,0.120266432940161,-0.211719265148173,-0.207792511953972,0.106011116637033,0.0404865290022585,0.0079519098383829,0.0346000662637061,0.0173171788331211,-0.109625278353041,0.00834996257244605,0.0913095383490694,0.117990658500841,0.105952300927333,-0.114701589383409,-0.038446014922296,-0.0287134545665146,0.0364650519304167,-6.0105913428081e-05,0.0379418617717277,-0.00817335727314996,-0.00746292585068073
"BT-474",0.109141255784095,0.173998698171833,0.113969275159516,0.0921456311316461,-0.0285572924747815,0.0367323700733649,0.0936638917534366,0.0764662493899212,0.0424675212373386,0.0432076091058076,0.0456695621342066,-0.0860060385823871,0.152444119689823,0.024018016136228,-0.0835009353939305,-0.245237631481445,0.0101957327801695,-0.125973048125516,0.238045470725429,-0.17356708961336,0.00257545555238298,0.0665202267091523,0.0191794556641248,0.133325258836471,0.0425075654018113,-0.0999910359953754,-0.0383196048939324,0.0927352822734044,0.0143860061051945,-0.153632628444022,-0.0138250554123576,0.0181566085852825,-0.0442521053311902,-0.0979692879708858,-0.13469490894373,0.0760995058213683,-0.0260374704617114,-0.042587555641864,0.0300990160346529,-0.0760872955903899,-0.0194413998824285,0.031762205056103,0.15288723817096,-0.1077821830665,-0.172768393292675,0.155762586393499,0.110426844245594,0.0944743939062522,0.0252054723228641,0.0911902192987401,-0.0679457754325948,0.148589758797003,-0.0472213972413998,0.302321340429415,-0.0849580995727947,0.134109623652563,-0.0701390792836757,-0.0406815499450563,-0.217296938889559,0.147332330421259,-0.0363766741650298,-0.17237860147925,0.00654693986160711,0.149144742633283,0.0133932889690649,-0.222111197269381,-0.0139135817381867,-0.0454734233881221,0.0879987252810865,0.246664030793098,-0.0154737966170583,-0.144076656764885,0.106658061666707,-0.0112496449192434,0.0173847770185222,-0.126871954426303,-0.0392677705103446,0.163109513060448,-0.0352964188495015,0.0191051703548472,0.0647414901043551,-0.0334170766624285,0.00291748683311832
"BT-549",0.109483332843551,-0.175355235990583,0.107850218389983,0.0308100714791741,-0.0530162997258234,0.14343681929829,0.0325921448207708,0.029233542789622,0.0281311009959088,-0.108967618446282,-0.00161036305716417,0.113713541722621,-0.0190731870969362,0.183331289569348,0.130113397465813,0.0102455899713225,0.0400890394671017,-0.148892208888979,-0.0368458616820766,0.012815305403792,-0.158732694720355,0.0487083637107487,0.0463266183907396,0.0896021069591461,-0.138331609037657,0.053934173577405,-0.0291678938339295,0.0837383797187442,-0.048082070729411,-0.0486054016877497,0.150312318479155,0.170257037853446,0.0398428986878304,0.109795054992599,-0.178038132994297,0.0395229266485323,0.0378016881937631,-0.0492586981000866,-0.0603960992173458,0.0940814264081943,-0.0947780493606759,0.0711919065885284,-0.00568429054265569,0.0230236390437333,0.201070148267868,-0.103372276662474,-0.00392317818459725,-0.0322984953040624,0.0479411518250656,0.0642587768296188,0.0957570323799969,0.0731838289374486,-0.255179159822571,0.213888915338524,-0.0961030387635265,0.0187372106356381,0.064635053495397,0.18828910499128,-0.230653737615852,-0.235282574609311,0.103996497607981,0.252370023245182,0.282813370341975,-0.0306189777762504,0.167267528989788,0.0400615714964848,0.0278295100713952,-0.0823128376278583,-0.0379474495836148,0.020267888818109,-0.0505815797701361,0.039660239066713,-0.110622533502143,0.0671706865511908,0.128472894102327,0.0201655529756982,0.187837311730342,0.0329988055279942,-0.0664592162570404,0.0122737985772453,0.00747630154599536,-0.0205251746956464,-0.0176706568585437
"C32",0.106505652440089,-0.106421294624051,0.112520550992093,-0.0353508500473135,-0.105737609660679,0.35749526733904,0.0420101640797174,-0.26663323284701,0.119886725703803,0.385872819396637,0.0147253705200148,0.0607612998746486,0.21343894954507,-0.203090508129099,-0.220494235336534,-0.0246074028866461,0.0681163365254852,0.0890911350708376,-0.06609613433234,0.156900727970566,0.0954749624309491,0.103610466646205,-0.0773818291560723,-0.00474338934871782,-0.0593107661826739,0.0123134134518711,-0.00323161316486231,0.0338153067002983,0.0665810033897453,-0.0653719783669859,-0.00822679671084539,0.00686763982141506,0.0529174084022919,-0.0172643520351027,0.00102053493869697,-0.0856007267824447,-0.0353329369533027,-0.0491484884616574,-0.0552353657850456,0.0766007459701337,0.03813294985304,0.0216199840139372,0.0106652658981551,0.0600404711038049,-0.0507794649840605,-0.0192415515401333,0.0256801751270274,0.0561601937924478,-0.0776282378251882,-0.0781038856325429,-0.0533450415636851,0.0356530670240437,0.0659169697475711,0.0563465700655653,-0.0578608583210317,0.0414774695620785,0.092579164789766,-0.0631713536432436,0.211025712138254,0.0536258721216014,0.0258969290943765,0.0435961998505688,0.110147061605594,0.0695026579487395,-0.0612846791174044,-0.115002844179354,0.032519260445948,-0.0463553372567774,-0.0657724456193237,0.118814737386182,0.0529348708135317,0.12251079285362,-0.137485724240721,0.112899117083606,-0.094091553603697,0.0830610161731993,0.176349828840273,-0.114116898011639,-0.258003911162261,0.0575705766198527,-0.0305651660427168,0.0637157655035273,-0.0268255451756219
"CAL-120",0.110461679931008,-0.134034588159397,0.0228757259374423,0.0560101943600211,0.0922027689319536,-0.0449295855781521,0.142777562751073,0.00735888159909854,0.0535636764117021,-0.134956772453144,-0.0225995857510726,-0.0819464830738877,-0.0174256024947738,0.118195821646778,-0.0281569475736367,0.0564061024784746,0.0649580132493281,0.0211130054326558,-0.0293845854613032,0.0993359361826095,0.0499360845395603,-0.104388554288329,0.0830652980813449,-0.159221984881486,-0.163156407410654,0.0712450319076884,-0.177562725493505,-0.0306885095202745,0.101539762825413,-0.154044050367031,0.0679025214702171,-0.210099759604457,-0.0293751943800952,-0.0819361746291522,-0.213550128501585,-0.123644837903516,0.128202329840858,0.109643985855367,-0.199740227333238,-0.0466349244587031,0.327658952114558,0.20412858691861,0.100552365825073,0.0290363916154718,-0.167448723923175,-0.0634260812121913,-0.0854834036939067,-0.0829872565167099,0.0536863467761908,0.210815372377069,-0.00896648340495295,0.109455542282636,-0.0741011627413697,-0.0959930699707815,0.0552600904551914,-0.0218036051560148,-0.0859071635615054,0.0633532623140011,0.171644933626683,-0.058696515856589,-0.197034332978998,-0.104542042338537,0.00543964920409867,-0.0080308171364794,-0.00777753438908258,-0.0391614639879867,0.131619845504895,0.0790738923153681,0.146024966256438,0.164479462052627,0.0131879358365059,0.147399596078034,-0.0781349508739085,-0.0990962475515536,0.0574871028201003,0.0133139098835832,0.0650728975831937,0.0998523680403216,0.0419858913788492,-0.100689296664037,-0.127672571681267,0.0738593769482345,0.0306423212225316
"CAL-148",0.109387924206378,0.155294440444067,0.174023228882859,-0.0159007254694788,-0.0261899912296343,-0.0159580745942572,-0.00794101771584926,0.029645368500283,-0.0357004923232038,-0.0441729585399607,-0.089370680347659,0.0697075878816085,0.0444184754324986,0.0582872667040128,-0.0120520236511182,-0.13622428504434,0.0698520175417207,-0.0474840159720523,-0.0398357969796986,-0.0987991016304886,0.0316344682416516,0.0166289322455422,0.056507768599873,0.0670482523417709,-0.0513557709050941,0.153750621708427,0.193783985637022,-0.0262743938292318,0.192896247619589,-0.0821214450702592,0.0222055583000488,0.0598814395904327,0.313451115531589,-0.0627823911088224,0.0803711191714631,0.267462885663804,0.0827053517794078,0.059856072562067,-0.235426891691253,-0.153720492842738,-0.0537644263366405,0.00204302786208464,-0.0450963842731125,0.0384049459897243,-0.0167219336168116,0.0403136697287055,0.0941284905702643,-0.146870821999553,0.297394768610979,0.112760850304837,-0.192345659695319,-0.043931235366504,0.250275231661704,0.129260479751312,0.118507215647865,-0.0409717083678421,0.087294310677773,0.107515434221801,0.14342323988484,0.054830734594215,-0.0310707653499666,0.168346119641555,-0.102849069621103,0.132502277291179,0.00840117513573926,0.178510520117068,-0.00741167076573604,-0.0721636518197642,0.0882655795980381,-0.0998408114112927,-0.0988046688471673,0.0715110449950241,-0.0553295721828311,0.0100323715491144,-0.0875048672225375,-0.035142162530545,0.0186086688400059,-0.12974901422626,0.0577752525983733,-0.0188689517207015,-0.0652250033722286,0.0065487696939624,0.0231418434172676
